Date,Timestamp,Participant,ConditionOrder,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
19/05/2020,08:26.5,1,1,Discrete,Sequence Success,2,3,7,15,NA,NA,NA,NA,1,151566,NA,NA,NA,NA,NA,NA
19/05/2020,08:28.0,1,1,Discrete,InputWindowOver,2,3,8,15,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,09:17.6,1,1,Discrete,Frustration Questionnaire,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
19/05/2020,09:54.0,1,1,Discrete,KeyDown,3,4,8,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,09:54.2,1,1,Discrete,KeyDown,3,4,8,16,r,Correct,R,0,2834859,NA,NA,NA,NA,NA,NA,NA
19/05/2020,09:54.5,1,1,Discrete,KeyDown,3,4,8,16,w,Correct,W,0,2836502,NA,NA,NA,NA,NA,NA,NA
19/05/2020,09:54.7,1,1,Discrete,KeyDown,3,4,8,16,e,Correct,E,0,2004053,NA,NA,NA,NA,NA,NA,NA
19/05/2020,09:54.7,1,1,Discrete,Sequence Success,3,4,8,16,NA,NA,NA,NA,0,7675414,NA,NA,NA,NA,NA,NA
19/05/2020,09:56.5,1,1,Discrete,InputWindowOver,3,4,9,16,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,10:17.0,1,1,Discrete,KeyDown,3,5,9,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:17.3,1,1,Discrete,KeyDown,3,5,9,17,r,Correct,R,0,2339024,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:17.5,1,1,Discrete,KeyDown,3,5,9,17,w,Correct,W,0,200341,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:17.9,1,1,Discrete,KeyDown,3,5,9,17,e,Correct,E,0,4667613,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:17.9,1,1,Discrete,Sequence Success,3,5,9,17,NA,NA,NA,NA,0,9010047,NA,NA,NA,NA,NA,NA
19/05/2020,10:18.3,1,1,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:18.7,1,1,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,3835072,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:18.9,1,1,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,2170207,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:18.9,1,1,Discrete,Sequence Failed,3,5,9,17,NA,NA,NA,NA,0,6005279,NA,NA,NA,NA,NA,NA
19/05/2020,10:19.8,1,1,Discrete,InputWindowOver,3,5,9,17,NA,NA,NA,NA,NA,1,1,1,2,Fish Escaped,NA,NA
19/05/2020,10:40.8,1,1,Discrete,KeyDown,3,4,9,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:41.2,1,1,Discrete,KeyDown,3,4,9,18,r,Correct,R,0,3337901,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:41.7,1,1,Discrete,KeyDown,3,4,9,18,e,Failed,W,0,550573,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:41.7,1,1,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,0,8843631,NA,NA,NA,NA,NA,NA
19/05/2020,10:41.9,1,1,Discrete,KeyDown,3,4,9,18,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:42.1,1,1,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,1333105,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:42.3,1,1,Discrete,KeyDown,3,4,9,18,w,Failed,T,0,1838926,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:42.3,1,1,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,0,3172031,NA,NA,NA,NA,NA,NA
19/05/2020,10:42.4,1,1,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:42.6,1,1,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,267208,NA,NA,NA,NA,NA,NA,NA
19/05/2020,10:43.6,1,1,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,1,235379,NA,NA,NA,NA,NA,NA
19/05/2020,10:43.6,1,1,Discrete,InputWindowOver,3,4,9,18,NA,NA,NA,NA,NA,0,3,0,3,Fish Escaped,NA,NA
19/05/2020,11:10.0,1,1,Discrete,KeyDown,3,4,9,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:10.3,1,1,Discrete,KeyDown,3,4,9,19,r,Correct,R,0,2836043,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:10.5,1,1,Discrete,KeyDown,3,4,9,19,w,Correct,W,0,2503732,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.0,1,1,Discrete,KeyDown,3,4,9,19,e,Correct,E,0,4337806,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.0,1,1,Discrete,Sequence Success,3,4,9,19,NA,NA,NA,NA,0,9677581,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.2,1,1,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.4,1,1,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,1834738,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.6,1,1,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,1672372,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:11.6,1,1,Discrete,Sequence Failed,3,4,9,19,NA,NA,NA,NA,0,350711,NA,NA,NA,NA,NA,NA
19/05/2020,11:12.6,1,1,Discrete,InputWindowOver,3,4,10,19,NA,NA,NA,NA,NA,1,1,0,2,Got Fish,NA,NA
19/05/2020,11:34.7,1,1,Discrete,KeyDown,3,5,10,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:35.0,1,1,Discrete,KeyDown,3,5,10,20,r,Correct,R,0,3001402,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:35.3,1,1,Discrete,KeyDown,3,5,10,20,w,Correct,W,0,2670406,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:35.6,1,1,Discrete,KeyDown,3,5,10,20,e,Correct,E,0,3334788,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:35.6,1,1,Discrete,Sequence Success,3,5,10,20,NA,NA,NA,NA,0,9006596,NA,NA,NA,NA,NA,NA
19/05/2020,11:35.9,1,1,Discrete,KeyDown,3,5,10,20,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,11:37.5,1,1,Discrete,InputWindowOver,3,5,11,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,12:00.7,1,1,Discrete,KeyDown,3,5,11,21,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,12:00.9,1,1,Discrete,KeyDown,3,5,11,21,r,Correct,R,0,2501394,NA,NA,NA,NA,NA,NA,NA
19/05/2020,12:01.2,1,1,Discrete,KeyDown,3,5,11,21,w,Correct,W,0,3001539,NA,NA,NA,NA,NA,NA,NA
19/05/2020,12:01.6,1,1,Discrete,KeyDown,3,5,11,21,e,Correct,E,0,3340166,NA,NA,NA,NA,NA,NA,NA
19/05/2020,12:01.6,1,1,Discrete,Sequence Success,3,5,11,21,NA,NA,NA,NA,0,8843099,NA,NA,NA,NA,NA,NA
19/05/2020,12:01.9,1,1,Discrete,KeyDown,3,5,11,21,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,12:03.4,1,1,Discrete,InputWindowOver,3,5,12,21,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
19/05/2020,12:23.9,1,1,Discrete,Frustration Questionnaire,NA,NA,12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
19/05/2020,14:30.9,1,1,NA,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:17.6,1,1,Continuous,KeyDown,1,0,0,1,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:17.8,1,1,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:18.0,1,1,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2337043,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:18.3,1,1,Continuous,KeyDown,1,0,0,1,w,Correct,W,0,2502506,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:18.5,1,1,Continuous,KeyDown,1,0,0,1,e,Correct,E,0,233375,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:18.5,1,1,Continuous,Sequence Success,1,0,0,1,NA,NA,NA,NA,0,7173299,NA,NA,NA,NA,NA,NA
19/05/2020,17:18.8,1,1,Continuous,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,17:19.0,1,1,Continuous,KeyDown,1,0,0,1,r,Correct,R,0,2001908,NA,NA,NA,NA,NA,NA,NA
