Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,19:31:56.9700,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,06251389,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:56.9700,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,3609798,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.3458,Discrete,KeyDown,2,2,5,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.4008,Discrete,KeyDown,2,2,5,9,r,Correct,R,0,0555567,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.5607,Discrete,KeyDown,2,2,5,9,w,Correct,W,0,159661,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.6928,Discrete,KeyDown,2,2,5,9,e,Correct,E,0,1319448,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.6928,Discrete,Sequence Success,2,2,5,9,NA,NA,NA,NA,0,3471625,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:31:57.7411,Discrete,InputWindowOver,2,2,5,9,NA,NA,NA,NA,NA,4,0,4,4,Fish Escaped,NA,NA,
2020-05-20,19:32:16.9564,Discrete,KeyDown,2,2,5,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.0466,Discrete,KeyDown,2,2,5,10,r,Correct,R,0,090182,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.2623,Discrete,KeyDown,2,2,5,10,w,Correct,W,0,2154015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.3379,Discrete,KeyDown,2,2,5,10,e,Correct,E,0,07626489,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.3379,Discrete,Sequence Success,2,2,5,10,NA,NA,NA,NA,0,3818484,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.7617,Discrete,KeyDown,2,2,5,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:17.8448,Discrete,KeyDown,2,2,5,10,r,Correct,R,0,08341719,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:18.1085,Discrete,KeyDown,2,2,5,10,w,Correct,W,0,2637852,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:19.8453,Discrete,InputWindowOver,2,2,6,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:32:39.4490,Discrete,KeyDown,2,3,6,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:39.5045,Discrete,KeyDown,2,3,6,11,r,Correct,R,0,0556045,NA,NA,NA,NA,NA,NA,NA,NA,
