Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,10:24:09.0023,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,4030221,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:09.3005,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2984934,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:09.5368,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2294533,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:09.5368,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,9309689,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:09.8703,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:10.2174,Continuous,KeyDown,1,1,2,4,r,Correct,R,0,3400621,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:10.4817,Continuous,KeyDown,1,1,2,4,w,Correct,W,0,2707058,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:10.7319,Continuous,KeyDown,1,1,2,4,e,Correct,E,0,2501015,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:10.7319,Continuous,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,8608694,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:11.1343,Continuous,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:11.3916,Continuous,Sequence Failed,1,1,2,4,NA,NA,NA,NA,0,243001,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:11.3916,Continuous,InputWindowOver,1,1,3,4,NA,NA,NA,NA,NA,4,1,3,5,Got Fish,NA,NA,
2020-05-20,10:24:35.8645,Continuous,KeyDown,1,0,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:36.2471,Continuous,KeyDown,1,0,3,5,r,Correct,R,0,3818138,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:36.6221,Continuous,KeyDown,1,0,3,5,w,Correct,W,0,3750105,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:36.8166,Continuous,KeyDown,1,0,3,5,e,Correct,E,0,1945613,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:36.8166,Continuous,Sequence Success,1,0,3,5,NA,NA,NA,NA,0,9513856,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:37.1357,Continuous,KeyDown,1,0,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:37.5382,Continuous,KeyDown,1,0,3,5,r,Correct,R,0,4024633,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:37.8530,Continuous,KeyDown,1,0,3,5,w,Correct,W,0,2989911,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:38.1013,Continuous,KeyDown,1,0,3,5,e,Correct,E,0,2500553,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:38.1013,Continuous,Sequence Success,1,0,3,5,NA,NA,NA,NA,0,9515097,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:38.4845,Continuous,KeyDown,1,0,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:38.8306,Continuous,KeyDown,1,0,3,5,r,Correct,R,0,3543286,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:39.1364,Continuous,KeyDown,1,0,3,5,w,Correct,W,0,2986615,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:39.3858,Continuous,KeyDown,1,0,3,5,e,Correct,E,0,2500271,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:39.3858,Continuous,Sequence Success,1,0,3,5,NA,NA,NA,NA,0,9030172,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:39.7469,Continuous,KeyDown,1,0,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:40.1146,Continuous,KeyDown,1,0,3,5,r,Correct,R,0,3749576,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:40.4693,Continuous,KeyDown,1,0,3,5,w,Correct,W,0,3543456,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:40.7048,Continuous,KeyDown,1,0,3,5,e,Correct,E,0,2359744,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:40.7048,Continuous,Sequence Success,1,0,3,5,NA,NA,NA,NA,0,9652776,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:41.1293,Continuous,KeyDown,1,0,3,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:41.4694,Continuous,KeyDown,1,0,3,5,r,Correct,R,0,3401925,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:41.6842,Continuous,Sequence Failed,1,0,3,5,NA,NA,NA,NA,0,5485938,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:24:41.9644,Continuous,InputWindowOver,1,0,4,5,NA,NA,NA,NA,NA,4,1,2,5,Got Fish,NA,NA,
2020-05-20,10:25:20.1594,Continuous,Frustration Questionnaire,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,
2020-05-20,10:25:54.2639,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:54.5484,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,2847875,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:54.7849,Continuous,KeyDown,2,2,4,6,w,Correct,W,0,2361806,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:55.0214,Continuous,KeyDown,2,2,4,6,e,Correct,E,0,2361006,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:55.0214,Continuous,Sequence Success,2,2,4,6,NA,NA,NA,NA,0,7570688,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:55.3755,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:55.6738,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,298598,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:55.9240,Continuous,KeyDown,2,2,4,6,w,Correct,W,0,2499282,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:56.1810,Continuous,KeyDown,2,2,4,6,e,Correct,E,0,2570491,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:56.1810,Continuous,Sequence Success,2,2,4,6,NA,NA,NA,NA,0,8055754,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:56.5281,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
