Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,15:19:15.1143,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:15.4267,Continuous,KeyDown,1,1,2,5,t,Correct,R,0,3125827,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:15.5937,Continuous,KeyDown,1,1,2,5,r,Correct,R,0,1669779,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:15.8992,Continuous,KeyDown,1,1,2,5,w,Correct,W,0,3056115,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.1083,Continuous,KeyDown,1,1,2,5,r,Failed,E,0,2083929,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.1083,Continuous,Sequence Failed,1,1,2,5,NA,NA,NA,NA,0,9935651,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.1213,Continuous,KeyDown,1,1,2,5,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.5117,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.5666,Continuous,KeyDown,1,1,2,5,r,Correct,R,0,0556552,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.8089,Continuous,KeyDown,1,1,2,5,w,Correct,W,0,2425011,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.9404,Continuous,KeyDown,1,1,2,5,e,Correct,E,0,1319634,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:16.9404,Continuous,Sequence Success,1,1,2,5,NA,NA,NA,NA,0,4301197,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.2323,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.3443,Continuous,KeyDown,1,1,2,5,r,Correct,R,0,111226,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.5383,Continuous,KeyDown,1,1,2,5,w,Correct,W,0,1946846,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.6493,Continuous,KeyDown,1,1,2,5,e,Correct,E,0,1109109,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.6493,Continuous,Sequence Success,1,1,2,5,NA,NA,NA,NA,0,4168214,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:17.9197,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:18.0111,Continuous,KeyDown,1,1,2,5,r,Correct,R,0,09061059,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:18.2461,Continuous,KeyDown,1,1,2,5,w,Correct,W,0,2358349,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:18.3362,Continuous,KeyDown,1,1,2,5,e,Correct,E,0,09020999,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:18.3362,Continuous,Sequence Success,1,1,2,5,NA,NA,NA,NA,0,4166555,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:18.6422,Continuous,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:19.8856,Continuous,Sequence Failed,1,1,2,5,NA,NA,NA,NA,1,243376,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:19.8856,Continuous,InputWindowOver,1,1,3,5,NA,NA,NA,NA,NA,3,3,2,6,Got Fish,NA,NA,
2020-05-19,15:19:39.5464,Continuous,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:39.6154,Continuous,KeyDown,1,1,3,6,r,Correct,R,0,0695959,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:39.8515,Continuous,KeyDown,1,1,3,6,w,Correct,W,0,2360477,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:39.9635,Continuous,KeyDown,1,1,3,6,w,Failed,E,0,1111468,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:39.9635,Continuous,Sequence Failed,1,1,3,6,NA,NA,NA,NA,0,4167904,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.0321,Continuous,KeyDown,1,1,3,6,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.2893,Continuous,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.3939,Continuous,KeyDown,1,1,3,6,r,Correct,R,0,1045974,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.6302,Continuous,KeyDown,1,1,3,6,w,Correct,W,0,2361055,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.7340,Continuous,KeyDown,1,1,3,6,e,Correct,E,0,1040982,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:40.7340,Continuous,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,4448011,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.0201,Continuous,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.1160,Continuous,KeyDown,1,1,3,6,r,Correct,R,0,0967194,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.3659,Continuous,KeyDown,1,1,3,6,w,Correct,W,0,2499173,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.4839,Continuous,KeyDown,1,1,3,6,e,Correct,E,0,1181138,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.4839,Continuous,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,4647504,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.8382,Continuous,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:41.9703,Continuous,KeyDown,1,1,3,6,r,Correct,R,0,1319432,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.1921,Continuous,KeyDown,1,1,3,6,w,Correct,W,0,2222215,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.2965,Continuous,KeyDown,1,1,3,6,e,Correct,E,0,1042737,NA,NA,NA,NA,NA,NA,NA,NA,
