Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:17:51.5475,Discrete,Sequence Success,2,2,6,11,NA,NA,NA,NA,0,5665984,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:17:53.0805,Discrete,InputWindowOver,2,2,7,11,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:18:13.3631,Discrete,KeyDown,2,3,7,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:13.5963,Discrete,KeyDown,2,3,7,12,r,Correct,R,0,233279,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:13.8636,Discrete,KeyDown,2,3,7,12,w,Correct,W,0,2665878,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:13.9302,Discrete,KeyDown,2,3,7,12,e,Correct,E,0,06672853,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:13.9302,Discrete,Sequence Success,2,3,7,12,NA,NA,NA,NA,0,5665953,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:15.9471,Discrete,InputWindowOver,2,3,7,12,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-20,13:18:35.9625,Discrete,KeyDown,2,3,7,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:36.2294,Discrete,KeyDown,2,3,7,13,r,Correct,R,0,2665675,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:36.4793,Discrete,KeyDown,2,3,7,13,w,Correct,W,0,2499743,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:36.8126,Discrete,KeyDown,2,3,7,13,e,Correct,E,0,3332979,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:36.8126,Discrete,Sequence Success,2,3,7,13,NA,NA,NA,NA,0,8498397,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:18:38.3957,Discrete,InputWindowOver,2,3,8,13,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:18:48.7620,Discrete,Frustration Questionnaire,NA,NA,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,
2020-05-20,13:19:27.5782,Discrete,KeyDown,3,4,8,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:27.7945,Discrete,KeyDown,3,4,8,14,r,Correct,R,0,2166346,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:28.0782,Discrete,KeyDown,3,4,8,14,w,Correct,W,0,2833426,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:28.2446,Discrete,KeyDown,3,4,8,14,e,Correct,E,0,1665149,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:28.2446,Discrete,Sequence Success,3,4,8,14,NA,NA,NA,NA,0,666492,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:30.1109,Discrete,InputWindowOver,3,4,9,14,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
