Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
11/05/2020,58:56.1,Discrete,Game Started!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:17.9,Discrete,KeyDown,1,0,0,1,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:18.0,Discrete,KeyDown,1,0,0,1,r,Correct,R,0.0994192,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:18.1,Discrete,KeyDown,1,0,0,1,w,Correct,W,0.1333348,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:18.2,Discrete,KeyDown,1,0,0,1,e,Correct,E,0.1052256,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:18.2,Discrete,Sequence Success,1,0,0,1,NA,NA,NA,NA,0.3379796,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:20.7,Discrete,InputWindowOver,1,0,0,1,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
11/05/2020,59:54.1,Discrete,KeyDown,1,0,0,2,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:54.2,Discrete,KeyDown,1,0,0,2,r,Correct,R,0.08004721,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:54.3,Discrete,KeyDown,1,0,0,2,w,Correct,W,0.1339195,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:54.4,Discrete,KeyDown,1,0,0,2,e,Correct,E,0.09996928,NA,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:54.4,Discrete,Sequence Success,1,0,0,2,NA,NA,NA,NA,0.313936,NA,NA,NA,NA,NA,NA,NA
11/05/2020,59:56.7,Discrete,InputWindowOver,1,0,1,2,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,00:13.9,Discrete,KeyDown,1,1,1,3,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:14.0,Discrete,KeyDown,1,1,1,3,r,Correct,R,0.08956419,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:14.1,Discrete,KeyDown,1,1,1,3,w,Correct,W,0.1492878,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:14.2,Discrete,KeyDown,1,1,1,3,e,Correct,E,0.08577541,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:14.2,Discrete,Sequence Success,1,1,1,3,NA,NA,NA,NA,0.3246274,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:16.5,Discrete,InputWindowOver,1,1,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,00:34.0,Discrete,KeyDown,1,0,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:34.1,Discrete,KeyDown,1,0,2,4,r,Correct,R,0.0907137,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:34.2,Discrete,KeyDown,1,0,2,4,w,Correct,W,0.1255596,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:34.3,Discrete,KeyDown,1,0,2,4,e,Correct,E,0.0997508,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:34.3,Discrete,Sequence Success,1,0,2,4,NA,NA,NA,NA,0.3160241,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:36.8,Discrete,InputWindowOver,1,0,2,4,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
