Date,Timestamp,PlayerID,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish
2020-05-11,10:12:41.8788,Lilla Banan,Discrete,InputWindowOver,2,2,6,9,NA,NA,NA,NA,NA,1,1,1,2,Fish Escaped,
2020-05-11,10:13:00.4203,Lilla Banan,Discrete,KeyDown,2,2,6,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:00.5227,Lilla Banan,Discrete,KeyDown,2,2,6,10,r,Correct,R,0.1034949,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:00.6453,Lilla Banan,Discrete,KeyDown,2,2,6,10,w,Correct,W,0.122104,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:00.7364,Lilla Banan,Discrete,KeyDown,2,2,6,10,e,Correct,E,0.09077856,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:00.7364,Lilla Banan,Discrete,Sequence Success,2,2,6,10,NA,NA,NA,NA,0.3163775,NA,NA,NA,NA,NA,
2020-05-11,10:13:03.0966,Lilla Banan,Discrete,InputWindowOver,2,2,7,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:13:21.9140,Lilla Banan,Discrete,KeyDown,2,2,7,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:22.0080,Lilla Banan,Discrete,KeyDown,2,2,7,11,r,Correct,R,0.09499801,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:22.1739,Lilla Banan,Discrete,KeyDown,2,2,7,11,w,Correct,W,0.1653253,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:22.2769,Lilla Banan,Discrete,KeyDown,2,2,7,11,e,Correct,E,0.1036878,NA,NA,NA,NA,NA,NA,
