Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-12,11:23:13.4814,Discrete,InputWindowOver,2,3,7,12,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:23:34.7844,Discrete,KeyDown,2,3,7,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:34.9700,Discrete,KeyDown,2,3,7,13,r,Correct,R,0,1849795,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:35.2294,Discrete,KeyDown,2,3,7,13,w,Correct,W,0,2602522,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:35.3725,Discrete,KeyDown,2,3,7,13,e,Correct,E,0,1420809,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:35.3725,Discrete,Sequence Success,2,3,7,13,NA,NA,NA,NA,0,5873126,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:37.3811,Discrete,InputWindowOver,2,3,7,13,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:23:59.6159,Discrete,KeyDown,2,3,7,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:59.7486,Discrete,KeyDown,2,3,7,14,r,Correct,R,0,1166611,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:23:59.9834,Discrete,KeyDown,2,3,7,14,w,Correct,W,0,2525407,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:00.0912,Discrete,KeyDown,2,3,7,14,e,Correct,E,0,08445045,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:00.0912,Discrete,Sequence Success,2,3,7,14,NA,NA,NA,NA,0,4536523,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:02.2615,Discrete,InputWindowOver,2,3,8,14,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:24:07.2377,Discrete,Frustration Questionnaire,NA,NA,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,
2020-05-12,11:24:32.4165,Discrete,KeyDown,3,5,8,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:32.5287,Discrete,KeyDown,3,5,8,15,r,Correct,R,0,1113678,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:32.7314,Discrete,KeyDown,3,5,8,15,w,Correct,W,0,2059971,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:32.8307,Discrete,KeyDown,3,5,8,15,e,Correct,E,0,09442654,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:32.8307,Discrete,Sequence Success,3,5,8,15,NA,NA,NA,NA,0,4117915,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:35.0212,Discrete,InputWindowOver,3,5,9,15,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:24:56.5884,Discrete,KeyDown,3,4,9,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:56.6874,Discrete,KeyDown,3,4,9,16,r,Correct,R,0,0989539,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:56.9274,Discrete,KeyDown,3,4,9,16,w,Correct,W,0,2396135,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:57.0242,Discrete,KeyDown,3,4,9,16,e,Correct,E,0,0930512,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:57.0242,Discrete,Sequence Success,3,4,9,16,NA,NA,NA,NA,0,4316186,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:24:59.3833,Discrete,InputWindowOver,3,4,9,16,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:25:18.2406,Discrete,KeyDown,3,4,9,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:18.3504,Discrete,KeyDown,3,4,9,17,r,Correct,R,0,1093816,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:18.5602,Discrete,KeyDown,3,4,9,17,w,Correct,W,0,2004007,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:18.6441,Discrete,KeyDown,3,4,9,17,e,Correct,E,0,09341592,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:18.6441,Discrete,Sequence Success,3,4,9,17,NA,NA,NA,NA,0,4031982,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:20.8812,Discrete,InputWindowOver,3,4,10,17,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:25:43.1273,Discrete,KeyDown,3,5,10,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:43.3137,Discrete,KeyDown,3,5,10,18,r,Correct,R,0,190911,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:43.5543,Discrete,KeyDown,3,5,10,18,w,Correct,W,0,2372405,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:43.6624,Discrete,KeyDown,3,5,10,18,e,Correct,E,0,1112494,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:43.6624,Discrete,Sequence Success,3,5,10,18,NA,NA,NA,NA,0,5394009,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:25:45.9205,Discrete,InputWindowOver,3,5,11,18,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-12,11:26:04.6029,Discrete,KeyDown,3,4,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:04.7704,Discrete,KeyDown,3,4,11,19,r,Correct,R,0,1696787,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:05.0423,Discrete,KeyDown,3,4,11,19,w,Correct,W,0,2719596,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:05.1206,Discrete,KeyDown,3,4,11,19,e,Correct,E,0,07698968,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:05.1206,Discrete,Sequence Success,3,4,11,19,NA,NA,NA,NA,0,518628,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:07.2616,Discrete,InputWindowOver,3,4,11,19,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-12,11:26:27.2993,Discrete,KeyDown,3,4,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:27.4306,Discrete,KeyDown,3,4,11,20,r,Correct,R,0,1363946,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:27.6515,Discrete,KeyDown,3,4,11,20,w,Correct,W,0,2217028,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:27.7482,Discrete,KeyDown,3,4,11,20,e,Correct,E,0,09503677,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:27.7492,Discrete,Sequence Success,3,4,11,20,NA,NA,NA,NA,0,4531342,NA,NA,NA,NA,NA,NA,NA,
2020-05-12,11:26:29.9232,Discrete,InputWindowOver,3,4,12,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
